Official name of position,FED ID,FED channel
Pilt_BmI_D3_BLD2_PNL1,0041,1/2
Pilt_BmI_D3_BLD2_PNL2,0041,3/4
Pilt_BmI_D3_BLD3_PNL1,0041,5/6
Pilt_BmI_D3_BLD3_PNL2,0041,7/8
Pilt_BmI_D3_BLD4_PNL1,0041,9/10
Pilt_BmI_D3_BLD4_PNL2,0041,11/12
Pilt_BmI_D3_BLD5_PNL1,0041,13/14
Pilt_BmI_D3_BLD5_PNL2,0041,15/16
Pilt_BmI_D3_BLD6_PNL1,0041,17/18
Pilt_BmI_D3_BLD6_PNL2,0041,19/20
Pilt_BmI_D3_BLD7_PNL1,0041,21/22
Pilt_BmI_D3_BLD7_PNL2,0041,23/24
Pilt_BmI_D3_BLD8_PNL1,0041,25/26
Pilt_BmI_D3_BLD8_PNL2,0041,27/28
